GCA_000432135.1	117551/41/2
GCA_000432155.1	117551/250/2
GCA_000432175.1	117551/256/2
GCA_000432255.1	117551/268/2
GCA_000432275.1	117551/274/2
GCA_000432335.1	117551/58/2
GCA_000432375.1	117551/76/2
GCA_000432435.1	117551/96/2
GCA_000432515.1	117551/113/2
GCA_000432575.1	117551/131/2
GCA_000432595.1	117551/149/2
GCA_000432655.1	117551/166/2
GCA_000432735.1	117551/185/2
GCA_000432775.1	117551/203/2
GCA_000432835.1	117551/220/2
GCA_000432855.1	117551/238/2
GCA_000432895.1	117551/262/2
GCA_000432915.1	117551/5/2
GCA_000432995.1	117551/280/2
GCA_000433015.1	117551/292/2
GCA_000433035.1	117551/298/2
GCA_000433095.1	117551/311/2
GCA_000433115.1	117551/317/2
GCA_000433135.1	117551/328/2
GCA_000433175.1	117551/333/2
GCA_000433255.1	117551/345/2
GCA_000433315.1	117551/351/2
GCA_000433335.1	117551/363/2
GCA_000433355.1	117551/369/2
GCA_000433415.1	117551/381/2
GCA_000433455.1	117551/387/2
GCA_000433475.1	117551/397/2
GCA_000433515.1	117551/404/2
GCA_000433535.1	117551/416/2
GCA_000433635.1	117551/422/2
GCA_000433675.1	117551/433/2
GCA_000433735.1	117551/439/2
GCA_000433755.1	117551/451/2
GCA_000433775.1	117551/458/2
GCA_000433875.1	117551/469/2
GCA_000433915.1	117551/475/2
GCA_000433975.1	117551/488/2
GCA_000434015.1	117551/493/2
GCA_000434035.1	117551/505/2
GCA_000434055.1	117551/511/2
GCA_000434115.1	117551/522/2
GCA_000434175.1	117551/530/2
GCA_000434195.1	117551/539/2
GCA_000434215.1	117551/545/2
GCA_000434235.1	117551/557/2
GCA_000434295.1	117551/304/2
GCA_000434335.1	117551/323/2
GCA_000434395.1	117551/339/2
GCA_000434435.1	117551/357/2
GCA_000434475.1	117551/375/2
GCA_000434535.1	117551/392/2
GCA_000434555.1	117551/409/2
GCA_000434615.1	117551/427/2
GCA_000434635.1	117551/446/2
GCA_000434675.1	117551/463/2
GCA_000434695.1	117551/482/2
GCA_000434735.1	117551/498/2
GCA_000434775.1	117551/517/2
GCA_000434835.1	117551/534/2
GCA_000434895.1	117551/551/2
GCA_000434915.1	117551/286/2
GCA_000434935.1	117551/570/2
GCA_000434995.1	117551/576/2
GCA_000435055.1	117551/588/2
GCA_000435075.1	117551/594/2
GCA_000435175.1	117551/607/2
GCA_000435195.1	117551/613/2
GCA_000435275.1	117551/623/2
GCA_000435335.1	117551/629/2
GCA_000435395.1	117551/641/2
GCA_000435475.1	117551/647/2
GCA_000435495.1	117551/658/2
GCA_000435515.1	117551/664/2
GCA_000435535.1	117551/674/2
GCA_000435555.1	117551/681/2
GCA_000435595.1	117551/694/2
GCA_000435615.1	117551/700/2
GCA_000435635.1	117551/711/2
GCA_000435675.1	117551/716/2
GCA_000435715.1	117551/729/2
GCA_000435755.1	117551/734/2
GCA_000435835.1	117551/746/2
