GCA_000621905.1	117550/2295/4
GCA_000621985.1	117550/2320/4
GCA_000622025.1	117550/2329/4
GCA_000632805.1	117550/2353/4
GCA_000634115.1	117550/139/4
GCA_000634195.1	117550/143/4
GCA_000634215.1	117550/145/4
GCA_000634415.1	117550/149/4
GCA_000634515.1	117550/151/4
GCA_000634735.1	117550/155/4
GCA_000635015.1	117550/157/4
GCA_000635495.1	117550/161/4
GCA_000635535.1	117550/163/4
GCA_000648925.1	117550/2365/4
GCA_000681355.2	117550/167/5
GCA_000686145.1	117550/2387/4
GCA_000687655.1	117550/2397/4
GCA_000687675.1	117550/2415/4
GCA_000687695.1	117550/2425/4
GCA_000687975.1	117550/2448/4
GCA_000688095.1	117550/2458/3
GCA_000688615.1	117550/2480/4
GCA_000690595.2	117549/5275/4
GCA_000695745.1	117550/2490/4
GCA_000696115.1	117550/2514/4
GCA_000701625.1	117550/2525/4
GCA_000701725.1	117550/2548/4
GCA_000701945.1	117553/184/4
GCA_000702025.1	117550/2557/4
GCA_000702085.1	117550/2579/4
GCA_000702245.1	117550/2589/4
GCA_000702465.1	117550/2608/3
GCA_000702525.1	117550/2618/4
GCA_000702545.1	117553/201/4
GCA_000702685.1	117550/2640/4
GCA_000702845.1	117550/2650/4
GCA_000703065.1	117550/2673/4
GCA_000708525.1	117551/1001/4
GCA_000710935.1	117550/2683/4
GCA_000711965.1	117550/2704/3
GCA_000714765.1	117550/2715/4
GCA_000715605.1	117550/2740/4
GCA_000715615.1	117550/2753/4
GCA_000715635.1	117550/2779/4
GCA_000715685.1	117550/2309/4
GCA_000715825.1	117550/2339/4
GCA_000715855.1	117550/2376/4
GCA_000716465.1	117550/2408/4
GCA_000717275.1	117553/17/4
GCA_000717735.1	117550/2435/4
GCA_000719025.1	117550/2468/4
GCA_000719105.1	117550/2499/4
GCA_000719695.1	117553/215/4
GCA_000720375.1	117550/2536/4
GCA_000720535.1	117550/2567/4
GCA_000720555.1	117550/2598/4
GCA_000720805.1	117553/223/4
GCA_000720845.1	117550/2628/4
GCA_000720995.1	117550/2661/4
GCA_000721275.1	117550/2694/4
GCA_000721375.1	117550/2728/4
GCA_000722615.1	117550/2764/4
GCA_000723365.1	117550/2276/4
GCA_000723505.1	117550/2800/4
GCA_000724175.1	117551/1019/4
GCA_000725195.1	117550/169/4
GCA_000733415.1	117550/2811/4
GCA_000733915.1	117550/2833/4
GCA_000737945.1	117551/1038/4
GCA_000737985.1	117550/2843/4
GCA_000739515.1	117551/1057/4
GCA_000739535.1	117551/1074/4
GCA_000739615.1	117550/2863/4
GCA_000739635.1	117550/2873/4
GCA_000739655.1	117550/2895/4
GCA_000741495.1	117550/2907/4
GCA_000743035.1	117550/2929/4
GCA_000743525.1	117551/1094/4
GCA_000744935.1	117553/227/4
GCA_000745135.1	117550/2938/4
GCA_000746015.1	117550/2956/4
GCA_000746585.2	117550/2965/4
GCA_000746705.1	117549/1341/4
GCA_000746765.1	117549/1351/4
GCA_000747095.1	117551/1113/4
GCA_000747625.2	117551/843/4
GCA_000751295.2	117550/2985/4
GCA_000751355.1	117550/2997/4
GCA_000751555.1	117550/3012/4
GCA_000751595.1	117550/3022/4
